country,trade
Afghanistan,44.86929
Albania,-10.1641
Algeria,-36.8213
Angola,-22.4324
Antigua and Barbuda,-14.6121
Argentina,-22.1888
Armenia,-22.149
Australia,-5.98902
Austria,-21.4611
Azerbaijan,-24.9548
Bahamas. The,-17.0128
Bahrain,-27.8218
Bangladesh,5.207027
Barbados,-1.28297
Belarus,-29.7304
Belgium,-21.3107
Benin,-5.07612
Bhutan,31.83599
Bolivia,-13.8815
Bosnia and Herzegovina,-33.2707
Botswana,-19.7934
Brazil,-20.0284
Brunei Darussalam,-23.5621
Bulgaria,-28.9347
Burundi,-9.68229
Cambodia,-20.7567
Cameroon,-20.3753
Canada,-23.3344
Cape Verde,-14.2283
Central African Republic,8.840323
Chad,-10.8566
Chile,-21.1298
China,-13.0769
Colombia,-13.4645
Comoros,2.017486
Congo. Dem. Rep.,-26.2828
Congo. Rep.,-20.117
Costa Rica,-17.7607
Cote d'Ivoire,-11.9497
Croatia,-25.9154
Cyprus,-21.478
Czech Republic,-20.6312
Denmark,-22.1842
Dominica,-7.14455
Dominican Republic,-17.1468
Ecuador,-21.9653
Egypt. Arab Rep.,-8.42443
El Salvador,-22.1096
Equatorial Guinea,-23.2219
Eritrea,9.8833
Estonia,-31.7798
Ethiopia,12.15135
Fiji,-31.9717
Finland,-28.4867
France,-19.776
Gabon,-27.7078
Gambia. The,-1.03225
Georgia,-23.9258
Germany,-20.1214
Ghana,-6.21008
Greece,-25.1837
Grenada,-16.0201
Guatemala,-14.1375
Guinea,30.0173
Haiti,1.057345
Honduras,-24.4656
Hong Kong,-10.3122
Hungary,-24.2189
Iceland,-23.8878
India,-2.91912
Indonesia,-17.8149
Ireland,-10.8788
Israel,-20.9519
Italy,-23.9035
Jamaica,-28.5153
Japan,-26.2401
Jordan,-13.463
Kazakhstan,-30.5575
Kenya,-12.0591
Korea. Rep.,-20.0076
Kosovo,-6.72118
Kuwait,-31.1087
Kyrgyz Republic,-16.7018
Lao PDR,-0.24262
Latvia,-30.9085
Lebanon,1.670394
Lesotho,-4.18972
Liberia,-30.4379
Lithuania,-34.4018
Luxembourg,-17.5714
Macao SAR. China,-7.83384
Macedonia. FYR,-25.7802
Madagascar,-11.7715
Malawi,-2.00115
Malaysia,-19.0545
Maldives,-25.0448
Malta,-15.6231
Mauritania,-29.7716
Mauritius,-17.4439
Mexico,-21.6271
Moldova,-26.242
Mongolia,-27.4861
Montenegro,-32.0476
Morocco,-20.8186
Mozambique,-15.2882
Namibia,-3.4317
Nepal,4.929485
Netherlands,-17.3862
New Zealand,-22.4038
Nicaragua,-13.4063
Nigeria,-24.9679
Norway,-26.9812
Oman,-24.27
Pakistan,-10.6093
Panama,1.096014
Papua New Guinea,-16.8907
Paraguay,-21.8361
Peru,-18.2859
Philippines,-16.6259
Poland,-23.4249
Portugal,-21.3268
Puerto Rico,-3.47506
Qatar,-15.4846
Romania,-20.7533
Russian Federation,-33.0119
Rwanda,1.510892
Samoa,-8.07419
Saudi Arabia,-63.5113
Senegal,-18.0893
Serbia,-27.5603
Seychelles,-20.0785
Sierra Leone,-6.57369
Singapore,-3.43053
Slovak Republic,-24.9657
Slovenia,-24.6429
Solomon Islands,-13.8817
South Africa,-22.912
Spain,-22.936
Sri Lanka,-19.8629
St. Kitts and Nevis,-15.8241
St. Lucia,-12.2608
St. Vincent and the Grenadines,-9.36397
Sudan,-23.15
Swaziland,0.733885
Sweden,-25.5791
Switzerland,-10.9222
Syrian Arab Republic,-16.0334
Tajikistan,-24.187
Tanzania,-5.80177
Thailand,-18.8709
Togo,1.885254
Tonga,-2.17936
Tunisia,-21.0883
Turkey,-23.1174
Turkmenistan,3.562556
Uganda,14.59056
Ukraine,-39.6096
United Arab Emirates,-16.9515
United Kingdom,-21.7754
United States,-19.2061
Uruguay,-14.9794
Uzbekistan,1.526011
Vanuatu,-10.1154
Venezuela. RB,-21.6931
Vietnam,-8.34916
Yemen. Rep.,-21.847
Zambia,-14.7207
Zimbabwe,12.89087
